[2021-01-16T16:43:20+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2021-01-16T16:43:31+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region2; SC_WORLD_LOADED; game type VIEW_LEGENDS (2)
[2021-01-16T16:45:15+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2021-01-16T16:45:25+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-16T16:46:40+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-16T17:10:48+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-16T17:10:57+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2021-01-17T11:57:18+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region2; SC_WORLD_LOADED; game type VIEW_LEGENDS (2)
[2021-01-17T11:57:54+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
