[2021-01-22T14:20:29+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_UNLOADED; game type NONE (11)
[2021-01-22T14:21:50+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_LOADED; game type VIEW_LEGENDS (2)
[2021-01-22T14:24:55+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_UNLOADED; game type NONE (11)
[2021-01-22T14:25:13+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-22T14:28:14+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2021-01-22T16:40:20+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2021-01-22T16:40:31+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_UNLOADED; game type NONE (11)
[2021-01-22T17:02:00+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-22T17:02:06+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_UNLOADED; game type NONE (11)
[2021-01-22T17:02:17+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_LOADED; game type VIEW_LEGENDS (2)
[2021-01-22T17:04:19+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_LOADED; game type VIEW_LEGENDS (2)
[2021-01-22T17:07:43+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_UNLOADED; game type NONE (11)
[2021-01-22T17:08:28+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-22T17:08:46+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_MAP_LOADED; game type DWARF_UNRETIRE (8)
[2021-01-22T18:17:59+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_MAP_UNLOADED; game type DWARF_UNRETIRE (8)
[2021-01-22T18:18:19+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region6; SC_WORLD_UNLOADED; game type NONE (11)
[2021-01-23T15:05:52+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6bcc16dc9c; save: region6; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2021-01-23T15:06:11+0100] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6bcc16dc9c; save: region6; SC_WORLD_UNLOADED; game type NONE (11)
